runNumber,trialNumber,probRange,outputRange,trialStartTime,presentedProb_1,presentedProb_2,certaintyEquivalent,responseTime,invalidResponses,answer,riskyValue,lotteryExpectedValue,probabilitySequence_1,probabilitySequence_2,trialTimings,lotteryStartTimings,lotteryEndTimings,scaleStartTimings,scaleEndTimings,responseStartTimings,responseEndTimings,noiseType
1,1,00to050,00to100,0.124630308011547,2700,7943,10,9.00000063300831,NaN,yes,43,14.616643585547,2700,7943,0,1,10,1,10,1,10,highNoise
1,2,00to050,00to100,10.2134208689968,0967,1968,NaN,9.00014081900008,NaN,no answer,43,21.1285569105691,0967,1968,10,11,20,11,20,11,20,highNoise
1,3,00to050,00to100,20.0710257859901,0342,1087,3,9.00000114299473,NaN,yes,43,13.5289788408464,0342,1087,20,21,30,21,30,21,30,highNoise
1,4,00to050,00to100,30.0576562540082,1953,9744,5,9.00000099700992,NaN,yes,43,8.61853448275862,1953,9744,30,31,40,31,40,31,40,highNoise
1,5,00to050,00to100,40.0495549140032,2171,7242,12,9.00000046301284,NaN,yes,43,12.8904998619166,2171,7242,40,41,50,41,50,41,50,highNoise
1,6,00to050,00to100,50.0535807860142,1737,3474,20,9.00000091301627,NaN,yes,43,21.5,1737,3474,50,51,60,51,60,51,60,highNoise
1,7,00to050,00to100,60.0408434820129,0458,5747,NaN,9.00028994100285,NaN,no answer,43,3.42683139029059,0458,5747,60,61,70,61,70,61,70,highNoise
1,8,00to050,00to100,70.031932635,1128,4721,10,9.00000126499799,NaN,yes,43,10.2740944715103,1128,4721,70,71,80,71,80,71,80,highNoise
1,9,00to050,00to100,80.0351388280105,0795,4188,7,9.00000068801455,NaN,yes,43,8.16260744985673,0795,4188,80,81,90,81,90,81,90,highNoise
1,10,00to050,00to100,90.0416412880004,0154,3195,0,9.00000078801531,NaN,yes,43,2.07261345852895,0154,3195,90,91,100,91,100,91,100,highNoise
1,11,00to050,00to100,100.029639604007,4516,9406,20,9.00000099200406,NaN,yes,43,20.6451201360833,4516,9406,100,101,110,101,110,101,110,highNoise
