runNumber,trialNumber,probRange,outputRange,trialStartTime,presentedProb_1,presentedProb_2,certaintyEquivalent,responseTime,invalidResponses,answer,riskyValue,lotteryExpectedValue,probabilitySequence_1,probabilitySequence_2,trialTimings,lotteryStartTimings,lotteryEndTimings,scaleStartTimings,scaleEndTimings,responseStartTimings,responseEndTimings,noiseType
2,1,50to100,00to100,0.0410541930177715,5316,8435,24,9.00000033099786,NaN,yes,43,27.0999407231772,5316,8435,0,1,10,1,10,1,10,highNoise
2,2,50to100,00to100,10.0465498680132,6455,7249,40,9.00000138301402,NaN,yes,43,38.290108980549,6455,7249,10,11,20,11,20,11,20,highNoise
2,3,50to100,00to100,20.0352588890237,4038,5529,40,9.0000004870235,NaN,yes,43,31.4042322300597,4038,5529,20,21,30,21,30,21,30,highNoise
2,4,50to100,00to100,30.0241732250142,7754,8522,40,9.00000130900298,NaN,yes,43,39.1248533208167,7754,8522,30,31,40,31,40,31,40,highNoise
2,5,50to100,00to100,40.0302958310058,2867,5734,20,9.00000016600825,NaN,yes,43,21.5,2867,5734,40,41,50,41,50,41,50,highNoise
2,6,50to100,00to100,50.0391990070057,3055,4924,30,9.00000150399865,NaN,yes,43,26.6785134037368,3055,4924,50,51,60,51,60,51,60,highNoise
2,7,50to100,00to100,60.0254312640172,1869,2716,35,9.00000217399793,NaN,yes,43,29.590206185567,1869,2716,60,61,70,61,70,61,70,highNoise
2,8,50to100,00to100,70.0295864220243,4351,4835,37,9.00000058600563,NaN,yes,43,38.6955532574974,4351,4835,70,71,80,71,80,71,80,highNoise
2,9,50to100,00to100,80.0353009750252,5397,8990,25,9.00000198601629,NaN,yes,43,25.8143492769744,5397,8990,80,81,90,81,90,81,90,highNoise
2,10,50to100,00to100,90.0241633910045,2221,3977,33,9.00000116199953,NaN,yes,43,24.0138295197385,2221,3977,90,91,100,91,100,91,100,highNoise
2,11,50to100,00to100,100.029504527018,0959,1585,25,9.00000081901089,NaN,yes,43,26.0170347003155,0959,1585,100,101,110,101,110,101,110,highNoise
2,12,50to100,00to100,110.035082960007,3457,4121,30,9.00000216602348,NaN,yes,43,36.0715845668527,3457,4121,110,111,120,111,120,111,120,highNoise
2,13,50to100,00to100,120.024380440998,5172,6007,36,9.00000138999894,NaN,yes,43,37.0228067254869,5172,6007,120,121,130,121,130,121,130,highNoise
2,14,50to100,00to100,130.029767980013,3962,5081,30,9.00000061202445,NaN,yes,43,33.5300137768156,3962,5081,130,131,140,131,140,131,140,highNoise
2,15,50to100,00to100,140.039312601002,6379,9379,NaN,9.00032392202411,NaN,no answer,43,29.2458684294701,6379,9379,140,141,150,141,150,141,150,highNoise
2,16,50to100,00to100,150.028437793022,2173,2817,NaN,9.00015955601702,NaN,no answer,43,33.1696840610579,2173,2817,150,151,160,151,160,151,160,highNoise
2,17,50to100,00to100,160.030731194012,4770,4871,40,9.00000156799797,NaN,yes,43,42.1083966331349,4770,4871,160,161,170,161,170,161,170,highNoise
2,18,50to100,00to100,170.036265862,0962,1636,NaN,9.00009100601892,NaN,no answer,43,25.2848410757946,0962,1636,170,171,180,171,180,171,180,highNoise
2,19,50to100,00to100,180.025333545025,3101,5639,30,9.00000017901766,NaN,yes,43,23.6465685405214,3101,5639,180,181,190,181,190,181,190,highNoise
2,20,50to100,00to100,190.030162568,7175,7243,40,9.0000019580184,NaN,yes,43,42.5962998757421,7175,7243,190,191,200,191,200,191,200,highNoise
2,21,50to100,00to100,200.035334704997,5336,6055,38,9.00000086601358,NaN,yes,43,37.8939719240297,5336,6055,200,201,210,201,210,201,210,highNoise
2,22,50to100,00to100,210.023945356021,3230,5985,30,9.00000137300231,NaN,yes,43,23.2063492063492,3230,5985,210,211,220,211,220,211,220,highNoise
2,23,50to100,00to100,220.033394333004,3187,6139,25,9.00000017799903,NaN,yes,43,22.3230167779769,3187,6139,220,221,230,221,230,221,230,highNoise
2,24,50to100,00to100,230.03525207701,2909,4549,25,9.00000190801802,NaN,yes,43,27.4976918003957,2909,4549,230,231,240,231,240,231,240,highNoise
2,25,50to100,00to100,240.040438218013,6442,9076,36,9.00000011301017,NaN,yes,43,30.5207139709123,6442,9076,240,241,250,241,250,241,250,highNoise
2,26,50to100,00to100,250.03479717602,4239,6519,35,9.00000155100133,NaN,yes,43,27.9608835710999,4239,6519,250,251,260,251,260,251,260,highNoise
2,27,50to100,00to100,260.036749874998,5329,6577,38,9.00000061202445,NaN,yes,43,34.840656834423,5329,6577,260,261,270,261,270,261,270,highNoise
2,28,50to100,00to100,270.024541987019,5518,8366,35,9.00000020902371,NaN,yes,43,28.3617021276596,5518,8366,270,271,280,271,280,271,280,highNoise
2,29,50to100,00to100,280.035256853007,2772,4872,26,9.0000005820184,NaN,yes,43,24.4655172413793,2772,4872,280,281,290,281,290,281,290,highNoise
2,30,50to100,00to100,290.034966186009,7661,7976,40,9.00000203101081,NaN,yes,43,41.3017803410231,7661,7976,290,291,300,291,300,291,300,highNoise
2,31,50to100,00to100,300.027692536009,4983,9772,26,9.00000212702435,NaN,yes,43,21.9268317642243,4983,9772,300,301,310,301,310,301,310,highNoise
2,32,50to100,00to100,310.034288377006,7379,7608,41,9.00000192402513,NaN,yes,43,41.7057045215563,7379,7608,310,311,320,311,320,311,320,highNoise
2,33,50to100,00to100,320.034865607013,3836,4851,38,9.00000095000723,NaN,yes,43,34.002886002886,3836,4851,320,321,330,321,330,321,330,highNoise
2,34,50to100,00to100,330.024000004021,4559,6337,37,9.00000169401756,NaN,yes,43,30.9353006154332,4559,6337,330,331,340,331,340,331,340,highNoise
2,35,50to100,00to100,340.029371520999,6210,7476,38,9.00000012799865,NaN,yes,43,35.7182985553772,6210,7476,340,341,350,341,350,341,350,highNoise
2,36,50to100,00to100,350.035271312023,5947,7261,38,9.00000013000681,NaN,yes,43,35.2184272138824,5947,7261,350,351,360,351,360,351,360,highNoise
2,37,50to100,00to100,360.024610809021,4807,5647,39,9.00000052101677,NaN,yes,43,36.6036833717018,4807,5647,360,361,370,361,370,361,370,highNoise
2,38,50to100,00to100,370.029205555009,6975,7578,40,9.00000042602187,NaN,yes,43,39.5783847980998,6975,7578,370,371,380,371,380,371,380,highNoise
2,39,50to100,00to100,380.034781900002,2323,3325,37,9.00000027401256,NaN,yes,43,30.0418045112782,2323,3325,380,381,390,381,390,381,390,highNoise
2,40,50to100,00to100,390.041788262024,5283,9970,29,9.00000065701897,NaN,yes,43,22.7852557673019,5283,9970,390,391,400,391,400,391,400,highNoise
2,41,50to100,00to100,400.034766609024,4398,5785,34,9.00000170001294,NaN,yes,43,32.6904062229905,4398,5785,400,401,410,401,410,401,410,highNoise
2,42,50to100,00to100,410.034604582004,2099,2403,37,9.00000168301631,NaN,yes,43,37.5601331668747,2099,2403,410,411,420,411,420,411,420,highNoise
2,43,50to100,00to100,420.040236866014,7751,9696,38,9.00000005902257,NaN,yes,43,34.3742780528053,7751,9696,420,421,430,421,430,421,430,highNoise
2,44,50to100,00to100,430.031430474017,4784,5091,39,9.00000177600305,NaN,yes,43,40.4069927322726,4784,5091,430,431,440,431,440,431,440,highNoise
2,45,50to100,00to100,440.035021445015,6281,8371,39,9.00000153901055,NaN,yes,43,32.2641261498029,6281,8371,440,441,450,441,450,441,450,highNoise
2,46,50to100,00to100,450.023993069015,3944,4241,39,9.00000173601438,NaN,yes,43,39.9886819146428,3944,4241,450,451,460,451,460,451,460,highNoise
2,47,50to100,00to100,460.02897994002,3151,5425,NaN,9.00004718100536,NaN,no answer,43,24.975668202765,3151,5425,460,461,470,461,470,461,470,highNoise
2,48,50to100,00to100,470.035211826005,4825,6514,31,9.00000007401104,NaN,yes,43,31.8506294135708,4825,6514,470,471,480,471,480,471,480,highNoise
2,49,50to100,00to100,480.026480786008,8998,9011,40,9.00000015000114,NaN,yes,43,42.9379647097991,8998,9011,480,481,490,481,490,481,490,highNoise
2,50,50to100,00to100,490.029675960017,6015,8980,36,9.00000175900641,NaN,yes,43,28.8023385300668,6015,8980,490,491,500,491,500,491,500,highNoise
2,51,50to100,00to100,500.034437132999,4248,4482,42,9.00000026202179,NaN,yes,43,40.7550200803213,4248,4482,500,501,510,501,510,501,510,highNoise
