runNumber,trialNumber,probRange,outputRange,trialStartTime,presentedProb_1,presentedProb_2,certaintyEquivalent,responseTime,invalidResponses,answer,riskyValue,lotteryExpectedValue,probabilitySequence_1,probabilitySequence_2,trialTimings,lotteryStartTimings,lotteryEndTimings,scaleStartTimings,scaleEndTimings,responseStartTimings,responseEndTimings,noiseType
3,1,50to100,00to100,0.0357272519904654,092,100,40.6,9.00000098801684,NaN,yes,43,39.56,092,100,0,1,10,1,10,1,10,lowNoise
3,2,50to100,00to100,10.0243108019931,078,100,40,9.00000200100476,NaN,yes,43,33.54,078,100,10,11,20,11,20,11,20,lowNoise
3,3,50to100,00to100,20.0298935419996,098,100,42,9.00000144200749,NaN,yes,43,42.14,098,100,20,21,30,21,30,21,30,lowNoise
3,4,50to100,00to100,30.0358868280018,095,100,41,9.00000112899579,441.7,yes,43,40.85,095,100,30,31,40,31,40,31,40,lowNoise
3,5,50to100,00to100,40.0284106520121,086,100,39.5,9.00000049901428,NaN,yes,43,36.98,086,100,40,41,50,41,50,41,50,lowNoise
3,6,50to100,00to100,50.029922251997,100,100,43,9.0000003509922,NaN,yes,43,43,100,100,50,51,60,51,60,51,60,lowNoise
3,7,50to100,00to100,60.0354967619933,065,100,27.6,9.00000076301512,NaN,yes,43,27.95,065,100,60,61,70,61,70,61,70,lowNoise
3,8,50to100,00to100,70.0243728960049,052,100,22.5,9.00000087701483,NaN,yes,43,22.36,052,100,70,71,80,71,80,71,80,lowNoise
3,9,50to100,00to100,80.0310145590047,068,100,31.4,9.0000009489886,NaN,yes,43,29.24,068,100,80,81,90,81,90,81,90,lowNoise
3,10,50to100,00to100,90.0398578539898,094,100,40.7,9.00000154701411,NaN,yes,43,40.42,094,100,90,91,100,91,100,91,100,lowNoise
3,11,50to100,00to100,100.024732977996,070,100,30,9.00000015299884,NaN,yes,43,30.1,070,100,100,101,110,101,110,101,110,lowNoise
3,12,50to100,00to100,110.031789271015,079,100,35,9.00000154701411,NaN,yes,43,33.97,079,100,110,111,120,111,120,111,120,lowNoise
3,13,50to100,00to100,120.03870867801,075,100,32.5,9.00000088399975,NaN,yes,43,32.25,075,100,120,121,130,121,130,121,130,lowNoise
