runNumber,trialNumber,probRange,outputRange,trialStartTime,presentedProb_1,presentedProb_2,certaintyEquivalent,responseTime,invalidResponses,answer,riskyValue,lotteryExpectedValue,probabilitySequence_1,probabilitySequence_2,trialTimings,lotteryStartTimings,lotteryEndTimings,scaleStartTimings,scaleEndTimings,responseStartTimings,responseEndTimings,noiseType
1,1,50to100,00to100,0.105473766016075,3187,6139,22,9.00000041900785,NaN,yes,43,22.3230167779769,3187,6139,0,1,10,1,10,1,10,highNoise
1,2,50to100,00to100,10.1276856320037,0959,1585,27,9.00000195202301,NaN,yes,43,26.0170347003155,0959,1585,10,11,20,11,20,11,20,highNoise
1,3,50to100,00to100,20.0664112680242,0962,1636,25,9.00000099500176,NaN,yes,43,25.2848410757946,0962,1636,20,21,30,21,30,21,30,highNoise
1,4,50to100,00to100,30.0557463550067,6379,9379,30,9.00000205001561,NaN,yes,43,29.2458684294701,6379,9379,30,31,40,31,40,31,40,highNoise
1,5,50to100,00to100,40.0619983210054,7175,7243,41,9.00000024502515,NaN,yes,43,42.5962998757421,7175,7243,40,41,50,41,50,41,50,highNoise
1,6,50to100,00to100,50.0498033230251,6015,8980,30,9.00000086802174,NaN,yes,43,28.8023385300668,6015,8980,50,51,60,51,60,51,60,highNoise
1,7,50to100,00to100,60.0400679760205,3944,4241,41,9.00000042602187,NaN,yes,43,39.9886819146428,3944,4241,60,61,70,61,70,61,70,highNoise
1,8,50to100,00to100,70.0273839720176,2173,2817,NaN,9.00018589801039,NaN,no answer,43,33.1696840610579,2173,2817,70,71,80,71,80,71,80,highNoise
1,9,50to100,00to100,80.0334827290208,3962,5081,34,9.0000018630235,NaN,yes,43,33.5300137768156,3962,5081,80,81,90,81,90,81,90,highNoise
1,10,50to100,00to100,90.0398583280039,2909,4549,NaN,9.00016544500249,NaN,no answer,43,27.4976918003957,2909,4549,90,91,100,91,100,91,100,highNoise
1,11,50to100,00to100,100.027174527,4559,6337,35,9.00000158301555,NaN,yes,43,30.9353006154332,4559,6337,100,101,110,101,110,101,110,highNoise
1,12,50to100,00to100,110.033235796,4038,5529,37,9.00000082101906,NaN,yes,43,31.4042322300597,4038,5529,110,111,120,111,120,111,120,highNoise
1,13,50to100,00to100,120.039345070021,4248,4482,NaN,9.00016965801478,442,invalid answers,43,40.7550200803213,4248,4482,120,121,130,121,130,121,130,highNoise
1,14,50to100,00to100,130.029385717004,4807,5647,38,9.00000164401717,NaN,yes,43,36.6036833717018,4807,5647,130,131,140,131,140,131,140,highNoise
1,15,50to100,00to100,140.033310239,1869,2716,29,9.00000163502409,NaN,yes,43,29.590206185567,1869,2716,140,141,150,141,150,141,150,highNoise
1,16,50to100,00to100,150.038417735021,3055,4924,26,9.00000184300006,NaN,yes,43,26.6785134037368,3055,4924,150,151,160,151,160,151,160,highNoise
1,17,50to100,00to100,160.027159309015,7754,8522,38,9.00000154200825,NaN,yes,43,39.1248533208167,7754,8522,160,161,170,161,170,161,170,highNoise
1,18,50to100,00to100,170.033579022012,7661,7976,42,9.0000010250078,NaN,yes,43,41.3017803410231,7661,7976,170,171,180,171,180,171,180,highNoise
