runNumber,trialNumber,probRange,outputRange,trialStartTime,presentedProb_1,presentedProb_2,certaintyEquivalent,responseTime,invalidResponses,answer,riskyValue,lotteryExpectedValue,probabilitySequence_1,probabilitySequence_2,trialTimings,lotteryStartTimings,lotteryEndTimings,scaleStartTimings,scaleEndTimings,responseStartTimings,responseEndTimings,noiseType
1,1,00to050,00to100,0.0859247709740885,008,100,3,9.00000057497527,NaN,yes,43,3.44,008,100,0,1,10,1,10,1,10,lowNoise
1,2,00to050,00to100,10.1414858179924,043,100,20,9.0000007179915,NaN,yes,43,18.49,043,100,10,11,20,11,20,11,20,lowNoise
1,3,00to050,00to100,20.0633944189758,017,100,4,9.00000188598642,NaN,yes,43,7.31,017,100,20,21,30,21,30,21,30,lowNoise
1,4,00to050,00to100,30.0531671159843,002,100,1,9.00000139098847,NaN,yes,43,0.86,002,100,30,31,40,31,40,31,40,lowNoise
1,5,00to050,00to100,40.0577462929941,015,100,5,9.00000179099152,NaN,yes,43,6.45,015,100,40,41,50,41,50,41,50,lowNoise
1,6,00to050,00to100,50.0477980109863,006,100,3,9.00000146997627,NaN,yes,43,2.58,006,100,50,51,60,51,60,51,60,lowNoise
1,7,00to050,00to100,60.0355521419842,037,100,8,9.00000189998536,NaN,yes,43,15.91,037,100,60,61,70,61,70,61,70,lowNoise
1,8,00to050,00to100,70.0250066399749,014,100,5,9.00000099898898,NaN,yes,43,6.02,014,100,70,71,80,71,80,71,80,lowNoise
1,9,00to050,00to100,80.030370161985,049,100,21,9.00000048999209,NaN,yes,43,21.07,049,100,80,81,90,81,90,81,90,lowNoise
1,10,00to050,00to100,90.0355390309996,004,100,1,9.00000068297959,NaN,yes,43,1.72,004,100,90,91,100,91,100,91,100,lowNoise
1,11,00to050,00to100,100.024454305996,042,100,20,9.00000112398993,NaN,yes,43,18.06,042,100,100,101,110,101,110,101,110,lowNoise
1,12,00to050,00to100,110.032189348974,027,100,10,9.00000035300036,NaN,yes,43,11.61,027,100,110,111,120,111,120,111,120,lowNoise
1,13,00to050,00to100,120.039802371,050,100,21,9.00000140897464,NaN,yes,43,21.5,050,100,120,121,130,121,130,121,130,lowNoise
1,14,00to050,00to100,130.024368839979,038,100,15,9.00000086799264,NaN,yes,43,16.34,038,100,130,131,140,131,140,131,140,lowNoise
1,15,00to050,00to100,140.030361540994,046,100,20,9.00000204498065,NaN,yes,43,19.78,046,100,140,141,150,141,150,141,150,lowNoise
1,16,00to050,00to100,150.035294579982,021,100,7,9.00000180199277,NaN,yes,43,9.03,021,100,150,151,160,151,160,151,160,lowNoise
1,17,00to050,00to100,160.024433615996,007,100,4,9.00000161697972,NaN,yes,43,3.01,007,100,160,161,170,161,170,161,170,lowNoise
1,18,00to050,00to100,170.029941758985,025,100,11,9.00000145798549,NaN,yes,43,10.75,025,100,170,171,180,171,180,171,180,lowNoise
1,19,00to050,00to100,180.040350660973,047,100,20,9.00000170097337,NaN,yes,43,20.21,047,100,180,181,190,181,190,181,190,lowNoise
1,20,00to050,00to100,190.024493838981,044,100,20,9.00000213098247,NaN,yes,43,18.92,044,100,190,191,200,191,200,191,200,lowNoise
1,21,00to050,00to100,200.029835871974,001,100,0,9.0000008729985,NaN,yes,43,0.43,001,100,200,201,210,201,210,201,210,lowNoise
1,22,00to050,00to100,210.035763722,040,100,16,9.0000007339986,NaN,yes,43,17.2,040,100,210,211,220,211,220,211,220,lowNoise
1,23,00to050,00to100,220.024161051988,033,100,11,9.00000148697291,NaN,yes,43,14.19,033,100,220,221,230,221,230,221,230,lowNoise
1,24,00to050,00to100,230.049585276982,010,100,4,9.00000207798439,NaN,yes,43,4.3,010,100,230,231,240,231,240,231,240,lowNoise
1,25,00to050,00to100,240.035172440985,023,100,10,9.00000095297582,NaN,yes,43,9.89,023,100,240,241,250,241,250,241,250,lowNoise
1,26,00to050,00to100,250.025128741981,020,100,8,9.00000843699672,NaN,yes,43,8.6,020,100,250,251,260,251,260,251,260,lowNoise
1,27,00to050,00to100,260.029593694984,011,100,4,9.00000087398803,NaN,yes,43,4.73,011,100,260,261,270,261,270,261,270,lowNoise
1,28,00to050,00to100,270.035208576999,012,100,5,9.0000016449776,NaN,yes,43,5.16,012,100,270,271,280,271,280,271,280,lowNoise
1,29,00to050,00to100,280.024507811991,035,100,13,9.00000025599729,NaN,yes,43,15.05,035,100,280,281,290,281,290,281,290,lowNoise
1,30,00to050,00to100,290.029584864998,019,100,8,9.00000214498141,NaN,yes,43,8.17,019,100,290,291,300,291,300,291,300,lowNoise
1,31,00to050,00to100,300.038897132996,013,100,5,9.00000033099786,NaN,yes,43,5.59,013,100,300,301,310,301,310,301,310,lowNoise
1,32,00to050,00to100,310.02437533898,048,100,21,9.00000045198249,NaN,yes,43,20.64,048,100,310,311,320,311,320,311,320,lowNoise
1,33,00to050,00to100,320.029558465991,016,100,6,9.0000005629845,NaN,yes,43,6.88,016,100,320,321,330,321,330,321,330,lowNoise
1,34,00to050,00to100,330.038366447989,005,100,2,9.0000003669993,NaN,yes,43,2.15,005,100,330,331,340,331,340,331,340,lowNoise
1,35,00to050,00to100,340.024184187991,003,100,1,9.00000057497527,NaN,yes,43,1.29,003,100,340,341,350,341,350,341,350,lowNoise
1,36,00to050,00to100,350.034017799975,026,100,10,9.00000151697895,NaN,yes,43,11.18,026,100,350,351,360,351,360,351,360,lowNoise
1,37,00to050,00to100,360.03683356999,024,100,11,9.00000206899131,NaN,yes,43,10.32,024,100,360,361,370,361,370,361,370,lowNoise
1,38,00to050,00to100,370.024042721983,018,100,8,9.00000196497422,NaN,yes,43,7.74,018,100,370,371,380,371,380,371,380,lowNoise
1,39,00to050,00to100,380.032472886989,030,100,12,9.0000001929875,122,yes,43,12.9,030,100,380,381,390,381,390,381,390,lowNoise
1,40,00to050,00to100,390.03501497698,029,100,12,9.0000021099986,NaN,yes,43,12.47,029,100,390,391,400,391,400,391,400,lowNoise
1,41,00to050,00to100,400.024838313984,009,100,3,9.0000020749867,NaN,yes,43,3.87,009,100,400,401,410,401,410,401,410,lowNoise
1,42,00to050,00to100,410.031988075993,000,100,1,9.00000106997322,NaN,yes,43,0,000,100,410,411,420,411,420,411,420,lowNoise
1,43,00to050,00to100,420.036685901985,034,100,12,9.00000137698953,NaN,yes,43,14.62,034,100,420,421,430,421,430,421,430,lowNoise
1,44,00to050,00to100,430.023799592978,032,100,12,9.00000017497223,NaN,yes,43,13.76,032,100,430,431,440,431,440,431,440,lowNoise
1,45,00to050,00to100,440.029298170994,039,100,16,9.00000083798659,NaN,yes,43,16.77,039,100,440,441,450,441,450,441,450,lowNoise
1,46,00to050,00to100,450.035674557992,045,100,20,9.00000101997284,NaN,yes,43,19.35,045,100,450,451,460,451,460,451,460,lowNoise
1,47,00to050,00to100,460.023820564995,031,100,12,9.00000091397669,122,yes,43,13.33,031,100,460,461,470,461,470,461,470,lowNoise
1,48,00to050,00to100,470.029818800976,022,100,8,9.00000168397673,NaN,yes,43,9.46,022,100,470,471,480,471,480,471,480,lowNoise
1,49,00to050,00to100,480.035066111974,041,100,16,9.00000143598299,NaN,yes,43,17.63,041,100,480,481,490,481,490,481,490,lowNoise
1,50,00to050,00to100,490.02364651399,028,100,12,9.00000031199306,NaN,yes,43,12.04,028,100,490,491,500,491,500,491,500,lowNoise
1,51,00to050,00to100,500.029229946987,036,100,14,9.00000194497989,NaN,yes,43,15.48,036,100,500,501,510,501,510,501,510,lowNoise
