runNumber,trialNumber,probRange,outputRange,trialStartTime,presentedProb_1,presentedProb_2,certaintyEquivalent,responseTime,invalidResponses,answer,riskyValue,lotteryExpectedValue,probabilitySequence_1,probabilitySequence_2,trialTimings,lotteryStartTimings,lotteryEndTimings,scaleStartTimings,scaleEndTimings,responseStartTimings,responseEndTimings,noiseType
4,1,50to100,00to100,0.0254531009995844,062,100,24,9.00000165498932,NaN,yes,43,26.66,062,100,0,1,10,1,10,1,10,lowNoise
4,2,50to100,00to100,10.0298127399874,063,100,24,9.00000108400127,NaN,yes,43,27.09,063,100,10,11,20,11,20,11,20,lowNoise
4,3,50to100,00to100,20.0357691099925,073,100,28,9.00000144398655,NaN,yes,43,31.39,073,100,20,21,30,21,30,21,30,lowNoise
4,4,50to100,00to100,30.0263791629986,072,100,28,9.00000156799797,NaN,yes,43,30.96,072,100,30,31,40,31,40,31,40,lowNoise
4,5,50to100,00to100,40.0311239059956,088,100,32,9.0000004869944,NaN,yes,43,37.84,088,100,40,41,50,41,50,41,50,lowNoise
4,6,50to100,00to100,50.0359630659805,092,100,36,9.00000181799987,NaN,yes,43,39.56,092,100,50,51,60,51,60,51,60,lowNoise
4,7,50to100,00to100,60.0242594879819,052,100,20,9.00000046700006,NaN,yes,43,22.36,052,100,60,61,70,61,70,61,70,lowNoise
4,8,50to100,00to100,70.0313510239939,080,100,32,9.00000055399141,NaN,yes,43,34.4,080,100,70,71,80,71,80,71,80,lowNoise
4,9,50to100,00to100,80.0415776059963,089,100,32,9.00000143598299,NaN,yes,43,38.27,089,100,80,81,90,81,90,81,90,lowNoise
4,10,50to100,00to100,90.0244534649828,051,100,20,9.00000155999442,NaN,yes,43,21.93,051,100,90,91,100,91,100,91,100,lowNoise
4,11,50to100,00to100,100.029789967986,083,100,32,9.0000007560011,NaN,yes,43,35.69,083,100,100,101,110,101,110,101,110,lowNoise
4,12,50to100,00to100,110.035476973979,053,100,20,9.00000199498027,NaN,yes,43,22.79,053,100,110,111,120,111,120,111,120,lowNoise
4,13,50to100,00to100,120.026629131986,100,100,43,9.00000156799797,NaN,yes,43,43,100,100,120,121,130,121,130,121,130,lowNoise
4,14,50to100,00to100,130.029491871974,087,100,32,9.00000175298192,NaN,yes,43,37.41,087,100,130,131,140,131,140,131,140,lowNoise
4,15,50to100,00to100,140.035196824989,076,100,32,9.00000076097785,NaN,yes,43,32.68,076,100,140,141,150,141,150,141,150,lowNoise
4,16,50to100,00to100,150.024165836978,075,100,28,9.00000191299478,NaN,yes,43,32.25,075,100,150,151,160,151,160,151,160,lowNoise
4,17,50to100,00to100,160.030991073989,067,100,25,9.00024767700233,NaN,yes,43,28.81,067,100,160,161,170,161,170,161,170,lowNoise
4,18,50to100,00to100,170.035129899974,057,100,24,9.00000135297887,NaN,yes,43,24.51,057,100,170,171,180,171,180,171,180,lowNoise
4,19,50to100,00to100,180.026168370998,084,100,32,9.0000020749867,NaN,yes,43,36.12,084,100,180,181,190,181,190,181,190,lowNoise
4,20,50to100,00to100,190.029893372994,093,100,36,9.00000210499275,NaN,yes,43,39.99,093,100,190,191,200,191,200,191,200,lowNoise
4,21,50to100,00to100,200.035097241984,059,100,20,9.0000015499827,NaN,yes,43,25.37,059,100,200,201,210,201,210,201,210,lowNoise
4,22,50to100,00to100,210.023923461995,074,100,28,9.00000090899994,NaN,yes,43,31.82,074,100,210,211,220,211,220,211,220,lowNoise
4,23,50to100,00to100,220.029432059993,065,100,24,9.00000261099194,NaN,yes,43,27.95,065,100,220,221,230,221,230,221,230,lowNoise
4,24,50to100,00to100,230.035061016999,068,100,24,9.00000028999057,NaN,yes,43,29.24,068,100,230,231,240,231,240,231,240,lowNoise
