runNumber,trialNumber,probRange,outputRange,trialStartTime,presentedProb_1,presentedProb_2,certaintyEquivalent,responseTime,invalidResponses,answer,riskyValue,lotteryExpectedValue,probabilitySequence_1,probabilitySequence_2,trialTimings,lotteryStartTimings,lotteryEndTimings,scaleStartTimings,scaleEndTimings,responseStartTimings,responseEndTimings,noiseType
3,1,00to050,00to100,0.0252961810037959,006,100,2,9.00000129200635,NaN,yes,43,2.58,006,100,0,1,10,1,10,1,10,lowNoise
3,2,00to050,00to100,10.0307052310091,049,100,21,9.00000058699516,NaN,yes,43,21.07,049,100,10,11,20,11,20,11,20,lowNoise
3,3,00to050,00to100,20.0390924630046,036,100,16,9.00000082200859,NaN,yes,43,15.48,036,100,20,21,30,21,30,21,30,lowNoise
3,4,00to050,00to100,30.0249935210159,047,100,20,9.00000005401671,NaN,yes,43,20.21,047,100,30,31,40,31,40,31,40,lowNoise
3,5,00to050,00to100,40.0305202119926,009,100,2,9.00000065501081,NaN,yes,43,3.87,009,100,40,41,50,41,50,41,50,lowNoise
3,6,00to050,00to100,50.0362044950016,028,100,5,9.00000016301055,NaN,yes,43,12.04,028,100,50,51,60,51,60,51,60,lowNoise
3,7,00to050,00to100,60.0265090350003,022,100,20,9.00000061400351,NaN,yes,43,9.46,022,100,60,61,70,61,70,61,70,lowNoise
3,8,00to050,00to100,70.0321163390181,035,100,NaN,9.00000716801151,NaN,no answer,43,15.05,035,100,70,71,80,71,80,71,80,lowNoise
3,9,00to050,00to100,80.1036959430203,027,100,7,9.00000112800626,NaN,yes,43,11.61,027,100,80,81,90,81,90,81,90,lowNoise
3,10,00to050,00to100,90.0253339009942,025,100,6,9.00000145600643,NaN,yes,43,10.75,025,100,90,91,100,91,100,91,100,lowNoise
3,11,00to050,00to100,100.030501983012,042,100,16,9.00000157600152,NaN,yes,43,18.06,042,100,100,101,110,101,110,101,110,lowNoise
3,12,00to050,00to100,110.036238439003,029,100,8,9.00000019001891,NaN,yes,43,12.47,029,100,110,111,120,111,120,111,120,lowNoise
3,13,00to050,00to100,120.025609624019,044,100,16,9.00000221599475,NaN,yes,43,18.92,044,100,120,121,130,121,130,121,130,lowNoise
3,14,00to050,00to100,130.035085194017,039,100,13,9.00000182699296,NaN,yes,43,16.77,039,100,130,131,140,131,140,131,140,lowNoise
3,15,00to050,00to100,140.036018004001,014,100,5,9.00000218601781,NaN,yes,43,6.02,014,100,140,141,150,141,150,141,150,lowNoise
3,16,00to050,00to100,150.025366799004,038,100,12,9.00000011900556,NaN,yes,43,16.34,038,100,150,151,160,151,160,151,160,lowNoise
3,17,00to050,00to100,160.033922161005,021,100,8,9.00009185299859,NaN,yes,43,9.03,021,100,160,161,170,161,170,161,170,lowNoise
3,18,00to050,00to100,170.037155225,031,100,12,9.00000104101491,NaN,yes,43,13.33,031,100,170,171,180,171,180,171,180,lowNoise
3,19,00to050,00to100,180.026072330016,012,100,4,9.00000049601658,NaN,yes,43,5.16,012,100,180,181,190,181,190,181,190,lowNoise
3,20,00to050,00to100,190.034546412993,019,100,4,9.00000052101677,NaN,yes,43,8.17,019,100,190,191,200,191,200,191,200,lowNoise
