runNumber,trialNumber,probRange,outputRange,trialStartTime,presentedProb_1,presentedProb_2,certaintyEquivalent,responseTime,invalidResponses,answer,riskyValue,lotteryExpectedValue,probabilitySequence_1,probabilitySequence_2,trialTimings,lotteryStartTimings,lotteryEndTimings,scaleStartTimings,scaleEndTimings,responseStartTimings,responseEndTimings,noiseType
3,1,00to050,00to100,0.0338862749922555,0558,2133,10,9.00000012700912,NaN,yes,43,11.2489451476793,0558,2133,0,1,10,1,10,1,10,highNoise
3,2,00to050,00to100,10.0223496330145,0124,4035,2,9.00000085000647,NaN,yes,43,1.32143742255266,0124,4035,10,11,20,11,20,11,20,highNoise
3,3,00to050,00to100,20.0284818329965,0738,2958,8,9.00000118199387,NaN,yes,43,10.7281947261663,0738,2958,20,21,30,21,30,21,30,highNoise
3,4,00to050,00to100,30.0358438800031,1175,3016,13,9.00000009700307,NaN,yes,43,16.7523209549072,1175,3016,30,31,40,31,40,31,40,highNoise
3,5,00to050,00to100,40.0223571690149,0274,6956,1,9.00000191200525,NaN,yes,43,1.69378953421507,0274,6956,40,41,50,41,50,41,50,highNoise
3,6,00to050,00to100,50.0289633530192,2718,7340,18,9.00000138700125,NaN,yes,43,15.9228882833787,2718,7340,50,51,60,51,60,51,60,highNoise
3,7,00to050,00to100,60.0347109730064,2744,8593,12,9.0000018379942,NaN,yes,43,13.7311765390434,2744,8593,60,61,70,61,70,61,70,highNoise
3,8,00to050,00to100,70.0247874310007,1128,4721,8,9.00000131301931,NaN,yes,43,10.2740944715103,1128,4721,70,71,80,71,80,71,80,highNoise
3,9,00to050,00to100,80.0280638610129,2841,6608,18,9.00000218200148,NaN,yes,43,18.4871368038741,2841,6608,80,81,90,81,90,81,90,highNoise
3,10,00to050,00to100,90.0337001600128,3897,8463,18,9.00000161299249,NaN,yes,43,19.8004253810705,3897,8463,90,91,100,91,100,91,100,highNoise
3,11,00to050,00to100,100.022294846014,0277,1740,5,9.00000164599624,NaN,yes,43,6.84540229885057,0277,1740,100,101,110,101,110,101,110,highNoise
3,12,00to050,00to100,110.030392295012,1793,9969,7,9.00000003099558,NaN,yes,43,7.73387501253887,1793,9969,110,111,120,111,120,111,120,highNoise
3,13,00to050,00to100,120.034300913016,4516,9406,20,9.00000087701483,NaN,yes,43,20.6451201360833,4516,9406,120,121,130,121,130,121,130,highNoise
3,14,00to050,00to100,130.023144057021,0098,9898,1,9.00000002601882,NaN,yes,43,0.425742574257426,0098,9898,130,131,140,131,140,131,140,highNoise
3,15,00to050,00to100,140.029592067003,0849,7755,3,9.00000130600529,NaN,yes,43,4.70754352030948,0849,7755,140,141,150,141,150,141,150,highNoise
3,16,00to050,00to100,150.03329829502,0640,6424,4,9.00000174500747,NaN,yes,43,4.28393524283935,0640,6424,150,151,160,151,160,151,160,highNoise
3,17,00to050,00to100,160.023983310995,0779,5961,5,9.0000017429993,NaN,yes,43,5.61935916792484,0779,5961,160,161,170,161,170,161,170,highNoise
3,18,00to050,00to100,170.029287650017,1975,8982,7,9.00000087701483,NaN,yes,43,9.45502115341795,1975,8982,170,171,180,171,180,171,180,highNoise
3,19,00to050,00to100,180.033183530002,1265,7478,5,9.00000105600338,NaN,yes,43,7.27400374431666,1265,7478,180,181,190,181,190,181,190,highNoise
3,20,00to050,00to100,190.022040751006,0419,4706,3.5,9.00000055000419,NaN,yes,43,3.82851678708032,0419,4706,190,191,200,191,200,191,200,highNoise
3,21,00to050,00to100,200.030808664014,0836,5605,6,9.00000069799717,NaN,yes,43,6.4135593220339,0836,5605,200,201,210,201,210,201,210,highNoise
3,22,00to050,00to100,210.033231728012,0342,1087,12,9.00000141499913,NaN,yes,43,13.5289788408464,0342,1087,210,211,220,211,220,211,220,highNoise
3,23,00to050,00to100,220.023817109002,3712,7901,20,9.0000016670092,NaN,yes,43,20.2019997468675,3712,7901,220,221,230,221,230,221,230,highNoise
3,24,00to050,00to100,230.030275555007,1737,3474,21,9.00000060501043,NaN,yes,43,21.5,1737,3474,230,231,240,231,240,231,240,highNoise
3,25,00to050,00to100,240.033376089006,1025,3780,13,9.00000109599205,NaN,yes,43,11.6600529100529,1025,3780,240,241,250,241,250,241,250,highNoise
3,26,00to050,00to100,250.038948002999,0876,6250,4,9.0000021700107,NaN,yes,43,6.02688,0876,6250,250,251,260,251,260,251,260,highNoise
3,27,00to050,00to100,260.029195729003,2225,5292,22,9.00000173901208,NaN,yes,43,18.0791761148904,2225,5292,260,261,270,261,270,261,270,highNoise
3,28,00to050,00to100,270.033227478008,0750,6253,5,9.00000034499681,NaN,yes,43,5.15752438829362,0750,6253,270,271,280,271,280,271,280,highNoise
3,29,00to050,00to100,280.02362682001,1175,5088,8,9.00000197900226,NaN,yes,43,9.93022798742138,1175,5088,280,281,290,281,290,281,290,highNoise
3,30,00to050,00to100,290.030306924018,1953,9744,8,9.00000016999547,NaN,yes,43,8.61853448275862,1953,9744,290,291,300,291,300,291,300,highNoise
3,31,00to050,00to100,300.034445051017,0458,5747,4,9.00000043501495,NaN,yes,43,3.42683139029059,0458,5747,300,301,310,301,310,301,310,highNoise
3,32,00to050,00to100,310.022218180995,0867,4114,8,9.00000123001519,NaN,yes,43,9.06198347107438,0867,4114,310,311,320,311,320,311,320,highNoise
3,33,00to050,00to100,320.027677778009,0488,1380,15,9.0000017429993,NaN,yes,43,15.2057971014493,0488,1380,320,321,330,321,330,321,330,highNoise
3,34,00to050,00to100,330.033736382,2878,7567,13,9.00000117599848,NaN,yes,43,16.3544337253865,2878,7567,330,331,340,331,340,331,340,highNoise
3,35,00to050,00to100,340.023269922996,2171,7242,15,9.00000070000533,NaN,yes,43,12.8904998619166,2171,7242,340,341,350,341,350,341,350,highNoise
3,36,00to050,00to100,350.028467307013,1369,3422,15,9.00000092599657,NaN,yes,43,17.2025131502046,1369,3422,350,351,360,351,360,351,360,highNoise
3,37,00to050,00to100,360.034617632016,0155,7904,1,9.00000033501419,NaN,yes,43,0.843243927125506,0155,7904,360,361,370,361,370,361,370,highNoise
3,38,00to050,00to100,370.021908746014,0501,7119,2,9.00000036001438,NaN,yes,43,3.02612726506532,0501,7119,370,371,380,371,380,371,380,highNoise
3,39,00to050,00to100,380.027302244009,2111,7534,12,9.00000160399941,NaN,yes,43,12.0484470400849,2111,7534,380,381,390,381,390,381,390,highNoise
3,40,00to050,00to100,390.033823325008,0795,4188,9,9.00000007799827,NaN,yes,43,8.16260744985673,0795,4188,390,391,400,391,400,391,400,highNoise
3,41,00to050,00to100,400.021857253014,1584,4405,14,9.00000069499947,NaN,yes,43,15.4624290578888,1584,4405,400,401,410,401,410,401,410,highNoise
3,42,00to050,00to100,410.02941824001,1165,2596,20,9.00000155201997,NaN,yes,43,19.2969953775039,1165,2596,410,411,420,411,420,411,420,highNoise
3,43,00to050,00to100,420.03578269601,2334,8049,12,9.00000183001976,NaN,yes,43,12.4688781215058,2334,8049,420,421,430,421,430,421,430,highNoise
3,44,00to050,00to100,430.041674103006,0012,9973,1,9.0000014770194,NaN,yes,43,0.0517396971823925,0012,9973,430,431,440,431,440,431,440,highNoise
3,45,00to050,00to100,440.028323559993,2700,7943,18,9.00000043600448,NaN,yes,43,14.616643585547,2700,7943,440,441,450,441,450,441,450,highNoise
3,46,00to050,00to100,450.033109244017,2898,7060,NaN,9.00006122799823,NaN,no answer,43,17.6507082152974,2898,7060,450,451,460,451,460,451,460,highNoise
3,47,00to050,00to100,460.038315633021,0154,3195,1,9.00000035899575,NaN,yes,43,2.07261345852895,0154,3195,460,461,470,461,470,461,470,highNoise
3,48,00to050,00to100,470.028043725993,3072,9295,17,9.00000053801341,NaN,yes,43,14.2115115653577,3072,9295,470,471,480,471,480,471,480,highNoise
3,49,00to050,00to100,480.033470057999,0220,3661,2,9.00000047299545,NaN,yes,43,2.58399344441409,0220,3661,480,481,490,481,490,481,490,highNoise
3,50,00to050,00to100,490.041218661005,0967,1968,21,9.00000082899351,NaN,yes,43,21.1285569105691,0967,1968,490,491,500,491,500,491,500,highNoise
3,51,00to050,00to100,500.02873226002,1377,3133,18,9.00000181401265,NaN,yes,43,18.8991382061921,1377,3133,500,501,510,501,510,501,510,highNoise
