subject,runNumber,trialNumber,probRange,outputRange,noiseType,trialStartTime,presentedProb_1,presentedProb_2,certaintyEquivalent,responseTime,invalidResponses,answer,riskyValue,lotteryExpectedValue,probabilitySequence_1,probabilitySequence_2,trialTimings,lotteryStartTimings,lotteryEndTimings,scaleStartTimings,scaleEndTimings,responseStartTimings,responseEndTimings
03,1,1,00to100,00to100,lowNoise,0.156714753677534,35,100,14.0,11.0000009999999,,yes,43,15.05,35,100,0.0,0.5,11.5,0.5,11.5,0.5,11.5
03,1,2,00to100,00to100,lowNoise,11.6749217536774,5,100,3.0,11.0000006999999,,yes,43,2.15,5,100,11.5,12.0,23.0,12.0,23.0,12.0,23.0
03,1,3,00to100,00to100,lowNoise,23.0727236143798,89,100,35.0,11.0000017999998,,yes,43,38.27,89,100,23.0,23.5,34.5,23.5,34.5,23.5,34.5
03,1,4,00to100,00to100,lowNoise,34.5638111536775,59,100,24.0,11.0000014999998,,yes,43,25.37,59,100,34.5,35.0,46.0,35.0,46.0,35.0,46.0
03,1,5,00to100,00to100,lowNoise,46.0569602143798,69,100,29.0,11.0000012,,yes,43,29.67,69,100,46.0,46.5,57.5,46.5,57.5,46.5,57.5
03,1,6,00to100,00to100,lowNoise,57.5645850143799,57,100,24.0,11.0,,yes,43,24.51,57,100,57.5,58.0,69.0,58.0,69.0,58.0,69.0
03,1,7,00to100,00to100,lowNoise,69.0549580143797,93,100,41.0,11.0000006,,yes,43,39.99,93,100,69.0,69.5,80.5,69.5,80.5,69.5,80.5
03,1,8,00to100,00to100,lowNoise,80.5507911536774,77,100,30.0,11.0000012,,yes,43,33.11,77,100,80.5,81.0,92.0,81.0,92.0,81.0,92.0
03,1,9,00to100,00to100,lowNoise,92.0455889536775,65,100,29.0,11.0000006999999,,yes,43,27.95,65,100,92.0,92.5,103.5,92.5,103.5,92.5,103.5
03,1,10,00to100,00to100,lowNoise,103.55271531438,49,100,22.0,11.0000004999999,,yes,43,21.07,49,100,103.5,104.0,115.0,104.0,115.0,104.0,115.0
03,1,11,00to100,00to100,lowNoise,115.05390301438,1,100,2.0,11.0000006,,yes,43,0.43,1,100,115.0,115.5,126.5,115.5,126.5,115.5,126.5
03,1,12,00to100,00to100,lowNoise,126.544353853677,85,100,36.0,11.0000011,,yes,43,36.55,85,100,126.5,127.0,138.0,127.0,138.0,127.0,138.0
03,1,13,00to100,00to100,lowNoise,138.04272791438,27,100,12.0,11.0000000999999,,yes,43,11.61,27,100,138.0,138.5,149.5,138.5,149.5,138.5,149.5
03,1,14,00to100,00to100,lowNoise,149.55788491438,73,100,30.0,11.0000012999999,,yes,43,31.39,73,100,149.5,150.0,161.0,150.0,161.0,150.0,161.0
03,1,15,00to100,00to100,lowNoise,161.04710411438,55,100,24.0,11.0000014999998,,yes,43,23.65,55,100,161.0,161.5,172.5,161.5,172.5,161.5,172.5
03,1,16,00to100,00to100,lowNoise,172.547546917893,91,100,41.0,11.0000003999999,,yes,43,39.13,91,100,172.5,173.0,184.0,173.0,184.0,173.0,184.0
03,1,17,00to100,00to100,lowNoise,184.046862353677,3,100,2.0,11.0,,yes,43,1.29,3,100,184.0,184.5,195.5,184.5,195.5,184.5,195.5
03,1,18,00to100,00to100,lowNoise,195.549205353678,19,100,9.0,11.0000008,,yes,43,8.17,19,100,195.5,196.0,207.0,196.0,207.0,196.0,207.0
03,1,19,00to100,00to100,lowNoise,207.04331211438,51,100,22.0,11.0000014999998,,yes,43,21.93,51,100,207.0,207.5,218.5,207.5,218.5,207.5,218.5
03,1,20,00to100,00to100,lowNoise,218.545840553677,97,100,43.0,11.0000006,,yes,43,41.71,97,100,218.5,219.0,230.0,219.0,230.0,219.0,230.0
03,1,21,00to100,00to100,lowNoise,230.043711592975,29,100,13.0,11.0000014999998,,yes,43,12.47,29,100,230.0,230.5,241.5,230.5,241.5,230.5,241.5
