runNumber,trialNumber,probRange,outputRange,trialStartTime,presentedProb_1,presentedProb_2,certaintyEquivalent,responseTime,invalidResponses,answer,riskyValue,lotteryExpectedValue,probabilitySequence_1,probabilitySequence_2,trialTimings,lotteryStartTimings,lotteryEndTimings,scaleStartTimings,scaleEndTimings,responseStartTimings,responseEndTimings,noiseType
2,1,00to050,00to100,0.0464705630147364,2225,5292,15.6,9.00000048600486,NaN,yes,43,18.0791761148904,2225,5292,0,1,10,1,10,1,10,highNoise
2,2,00to050,00to100,10.0534719590214,2841,6608,16.7,9.00000097701559,NaN,yes,43,18.4871368038741,2841,6608,10,11,20,11,20,11,20,highNoise
2,3,00to050,00to100,20.0419263990188,1584,4405,14.5,9.00000078201992,NaN,yes,43,15.4624290578888,1584,4405,20,21,30,21,30,21,30,highNoise
2,4,00to050,00to100,30.0306042020093,1369,3422,18.2,9.00000180202187,NaN,yes,43,17.2025131502046,1369,3422,30,31,40,31,40,31,40,highNoise
2,5,00to050,00to100,40.0392133599962,1175,3016,13,9.00000003702007,NaN,yes,43,16.7523209549072,1175,3016,40,41,50,41,50,41,50,highNoise
2,6,00to050,00to100,50.0238282880164,0501,7119,NaN,9.00020324901561,72,invalid answers,43,3.02612726506532,0501,7119,50,51,60,51,60,51,60,highNoise
2,7,00to050,00to100,60.0293237330043,2171,7242,11.8,9.00000081001781,NaN,yes,43,12.8904998619166,2171,7242,60,61,70,61,70,61,70,highNoise
2,8,00to050,00to100,70.0398150740075,4516,9406,20.8,9.00000206902041,NaN,yes,43,20.6451201360833,4516,9406,70,71,80,71,80,71,80,highNoise
2,9,00to050,00to100,80.0238124000025,1953,9744,8.7,9.00000175801688,NaN,yes,43,8.61853448275862,1953,9744,80,81,90,81,90,81,90,highNoise
2,10,00to050,00to100,90.0337989800028,0640,6424,5,9.00000157800969,NaN,yes,43,4.28393524283935,0640,6424,90,91,100,91,100,91,100,highNoise
2,11,00to050,00to100,100.036422004021,3897,8463,2.4,9.00000057902071,NaN,yes,43,19.8004253810705,3897,8463,100,101,110,101,110,101,110,highNoise
2,12,00to050,00to100,110.024032262008,2744,8593,12.5,9.00000080099562,NaN,yes,43,13.7311765390434,2744,8593,110,111,120,111,120,111,120,highNoise
2,13,00to050,00to100,120.029474870011,1975,8982,8.9,9.0000018440187,NaN,yes,43,9.45502115341795,1975,8982,120,121,130,121,130,121,130,highNoise
2,14,00to050,00to100,130.034807267017,0558,2133,10.5,9.00000126601662,NaN,yes,43,11.2489451476793,0558,2133,130,131,140,131,140,131,140,highNoise
2,15,00to050,00to100,140.024364075012,0342,1087,13.6,9.00000108400127,NaN,yes,43,13.5289788408464,0342,1087,140,141,150,141,150,141,150,highNoise
2,16,00to050,00to100,150.029788898013,3712,7901,NaN,9.00026218499988,NaN,no answer,43,20.2019997468675,3712,7901,150,151,160,151,160,151,160,highNoise
2,17,00to050,00to100,160.051836508006,1165,2596,19.8,9.00000041601015,NaN,yes,43,19.2969953775039,1165,2596,160,161,170,161,170,161,170,highNoise
2,18,00to050,00to100,170.026161198999,0836,5605,5,9.0000009110081,NaN,yes,43,6.4135593220339,0836,5605,170,171,180,171,180,171,180,highNoise
2,19,00to050,00to100,180.034039221995,0124,4035,3,9.00000171799911,NaN,yes,43,1.32143742255266,0124,4035,180,181,190,181,190,181,190,highNoise
2,20,00to050,00to100,190.037206091016,0738,2958,10.3,9.00000103202183,NaN,yes,43,10.7281947261663,0738,2958,190,191,200,191,200,191,200,highNoise
2,21,00to050,00to100,200.040594563994,2700,7943,13.7,9.0000007970084,NaN,yes,43,14.616643585547,2700,7943,200,201,210,201,210,201,210,highNoise
2,22,00to050,00to100,210.029656764993,2898,7060,18.7,9.0000012179953,NaN,yes,43,17.6507082152974,2898,7060,210,211,220,211,220,211,220,highNoise
2,23,00to050,00to100,220.034685715014,0967,1968,21,9.00000033900142,NaN,yes,43,21.1285569105691,0967,1968,220,221,230,221,230,221,230,highNoise
2,24,00to050,00to100,230.023662087013,0419,4706,7,9.0000002910092,NaN,yes,43,3.82851678708032,0419,4706,230,231,240,231,240,231,240,highNoise
2,25,00to050,00to100,240.032393119007,0274,6956,2.4,9.0000007970084,NaN,yes,43,1.69378953421507,0274,6956,240,241,250,241,250,241,250,highNoise
2,26,00to050,00to100,250.036666867003,0488,1380,13.7,9.00000173601438,NaN,yes,43,15.2057971014493,0488,1380,250,251,260,251,260,251,260,highNoise
2,27,00to050,00to100,260.023603189009,0154,3195,3,9.00000040102168,NaN,yes,43,2.07261345852895,0154,3195,260,261,270,261,270,261,270,highNoise
2,28,00to050,00to100,270.029104407004,0277,1740,5,9.00000098001328,NaN,yes,43,6.84540229885057,0277,1740,270,271,280,271,280,271,280,highNoise
2,29,00to050,00to100,280.034631713002,0155,7904,4,9.00000159899355,NaN,yes,43,0.843243927125506,0155,7904,280,281,290,281,290,281,290,highNoise
2,30,00to050,00to100,290.023482960009,1737,3474,22.1,9.00000124901999,NaN,yes,43,21.5,1737,3474,290,291,300,291,300,291,300,highNoise
2,31,00to050,00to100,300.031632582017,0876,6250,1,9.00000157300383,NaN,yes,43,6.02688,0876,6250,300,301,310,301,310,301,310,highNoise
2,32,00to050,00to100,310.037189140014,0098,9898,2,9.00000091601396,NaN,yes,43,0.425742574257426,0098,9898,310,311,320,311,320,311,320,highNoise
2,33,00to050,00to100,320.025026604999,0779,5961,6,9.00000165001256,NaN,yes,43,5.61935916792484,0779,5961,320,321,330,321,330,321,330,highNoise
2,34,00to050,00to100,330.029051874008,1265,7478,7,9.00000193499727,NaN,yes,43,7.27400374431666,1265,7478,330,331,340,331,340,331,340,highNoise
2,35,00to050,00to100,340.036870987999,0750,6253,4.6,9.00000125501538,NaN,yes,43,5.15752438829362,0750,6253,340,341,350,341,350,341,350,highNoise
2,36,00to050,00to100,350.023341888009,0458,5747,3.7,9.0000201179937,NaN,yes,43,3.42683139029059,0458,5747,350,351,360,351,360,351,360,highNoise
2,37,00to050,00to100,360.030997221998,2718,7340,10,9.00000088301022,100,yes,43,15.9228882833787,2718,7340,360,361,370,361,370,361,370,highNoise
2,38,00to050,00to100,370.035604770004,1175,5088,10.6,9.00000147899846,NaN,yes,43,9.93022798742138,1175,5088,370,371,380,371,380,371,380,highNoise
2,39,00to050,00to100,380.023392029019,1128,4721,9.6,9.00000027799979,NaN,yes,43,10.2740944715103,1128,4721,380,381,390,381,390,381,390,highNoise
2,40,00to050,00to100,390.030419610004,2111,7534,11.7,9.00000120099867,NaN,yes,43,12.0484470400849,2111,7534,390,391,400,391,400,391,400,highNoise
2,41,00to050,00to100,400.034652208997,0849,7755,7,9.00000128502143,NaN,yes,43,4.70754352030948,0849,7755,400,401,410,401,410,401,410,highNoise
2,42,00to050,00to100,410.023233726999,2334,8049,12.3,9.00003402301809,NaN,yes,43,12.4688781215058,2334,8049,410,411,420,411,420,411,420,highNoise
2,43,00to050,00to100,420.028826708003,1793,9969,8.7,9.00000024700421,NaN,yes,43,7.73387501253887,1793,9969,420,421,430,421,430,421,430,highNoise
2,44,00to050,00to100,430.034607091016,1025,3780,11.5,9.00000060701859,NaN,yes,43,11.6600529100529,1025,3780,430,431,440,431,440,431,440,highNoise
2,45,00to050,00to100,440.02319409902,1377,3133,16.7,9.00000064700725,NaN,yes,43,18.8991382061921,1377,3133,440,441,450,441,450,441,450,highNoise
2,46,00to050,00to100,450.030978505005,3072,9295,15.7,9.00000233401079,NaN,yes,43,14.2115115653577,3072,9295,450,451,460,451,460,451,460,highNoise
2,47,00to050,00to100,460.037187214009,0867,4114,8.7,9.00000166500104,NaN,yes,43,9.06198347107438,0867,4114,460,461,470,461,470,461,470,highNoise
2,48,00to050,00to100,470.023214703018,0220,3661,3,9.00000114101567,NaN,yes,43,2.58399344441409,0220,3661,470,471,480,471,480,471,480,highNoise
2,49,00to050,00to100,480.030660887016,0012,9973,1,9.00000072800322,NaN,yes,43,0.0517396971823925,0012,9973,480,481,490,481,490,481,490,highNoise
2,50,00to050,00to100,490.036955149,2878,7567,12.5,9.0000009490177,NaN,yes,43,16.3544337253865,2878,7567,490,491,500,491,500,491,500,highNoise
2,51,00to050,00to100,500.040269952005,0795,4188,7.8,9.00000057599391,NaN,yes,43,8.16260744985673,0795,4188,500,501,510,501,510,501,510,highNoise
